Asset Name,Lat,Long,Business Category,Risk Factors,Year,Risk Rating
"Washington, Rogers and Morrison",51.18618,-118.21157,Retail,"{""Volcano"": 0.12, ""Extreme cold"": 0.18, ""Extreme heat"": 0.11, ""Tornado"": 0.36}","2,060",0.77
Stewart PLC,44.15231,-79.23052,Retail,"{""Sea level rise"": 0.12, ""Volcano"": 0.02, ""Hurricane"": 0.05, ""Earthquake"": 0.08, ""Extreme heat"": 0.09, ""Drought"": 0.14, ""Extreme cold"": 0.02}","2,040",0.52
Alvarez Inc,45.80224,-73.47252,Energy,"{""Sea level rise"": 0.16, ""Wildfire"": 0.13, ""Drought"": 0.1, ""Flooding"": 0.12, ""Volcano"": 0.11, ""Extreme heat"": 0.04, ""Tornado"": 0.14, ""Hurricane"": 0.1, ""Earthquake"": 0.03, ""Extreme cold"": 0.02}","2,030",0.95
"Rodriguez, Roberts and Fuller",47.20072,-61.97063,Healthcare,"{""Tornado"": 1.0}","2,040",1.00
"Hall, Meadows and Anderson",45.88810,-72.42920,Technology,"{""Extreme cold"": 0.18, ""Hurricane"": 0.23}","2,050",0.41
"Rodriguez, Roberts and Fuller",46.24670,-62.00472,Technology,"{""Earthquake"": 0.05, ""Wildfire"": 0.1, ""Hurricane"": 0.1, ""Tornado"": 0.02}","2,060",0.27
"Hooper, Evans and Merritt",47.30051,-62.16310,Technology,"{""Volcano"": 0.15000000000000002, ""Drought"": 0.15, ""Sea level rise"": 0.13, ""Extreme heat"": 0.09, ""Tornado"": 0.16, ""Flooding"": 0.12}","2,060",0.80
Patel-Brooks,42.95419,-80.05393,Healthcare,"{""Drought"": 0.03}","2,060",0.03
"Rodriguez, Roberts and Fuller",46.04678,-73.60443,Retail,"{""Extreme heat"": 0.22, ""Tornado"": 0.25, ""Earthquake"": 0.3}","2,040",0.77
"Wagner, Curry and Pearson",50.70598,-118.51271,Technology,"{""Tornado"": 0.42}","2,060",0.42
Miller-Norris,45.96136,-73.43058,Retail,"{""Sea level rise"": 0.1, ""Volcano"": 0.33, ""Extreme cold"": 0.25, ""Tornado"": 0.06, ""Hurricane"": 0.06}","2,030",0.80
Reid PLC,50.31487,-118.49492,Retail,"{""Earthquake"": 0.16, ""Tornado"": 0.1, ""Sea level rise"": 0.05, ""Volcano"": 0.03}","2,040",0.34
Patel-Brooks,43.87745,-79.63810,Energy,"{""Extreme heat"": 0.31, ""Flooding"": 0.02, ""Extreme cold"": 0.04, ""Wildfire"": 0.17, ""Volcano"": 0.05, ""Hurricane"": 0.3}","2,070",0.89
"Washington, Rogers and Morrison",46.83215,-72.32282,Retail,"{""Sea level rise"": 0.01, ""Volcano"": 0.04, ""Wildfire"": 0.03, ""Tornado"": 0.0, ""Hurricane"": 0.04, ""Extreme heat"": 0.01, ""Flooding"": 0.05, ""Extreme cold"": 0.02}","2,040",0.20
Willis-Newman,46.83059,-62.79913,Technology,"{""Earthquake"": 0.02, ""Sea level rise"": 0.04, ""Extreme heat"": 0.02, ""Tornado"": 0.01, ""Extreme cold"": 0.06, ""Hurricane"": 0.05, ""Flooding"": 0.03, ""Volcano"": 0.02}","2,050",0.25
"Hall, Meadows and Anderson",54.07308,-112.83221,Technology,"{""Tornado"": 0.69}","2,030",0.69
Alvarez Inc,44.88050,-78.83195,Energy,"{""Earthquake"": 0.12, ""Extreme cold"": 0.04, ""Hurricane"": 0.22, ""Sea level rise"": 0.05, ""Tornado"": 0.01, ""Wildfire"": 0.15, ""Extreme heat"": 0.08, ""Drought"": 0.02, ""Volcano"": 0.06}","2,040",0.75
"Bender, Warren and Sanchez",46.42641,-73.36223,Finance,"{""Sea level rise"": 0.03, ""Volcano"": 0.08, ""Drought"": 0.07, ""Extreme heat"": 0.03, ""Wildfire"": 0.09, ""Flooding"": 0.02, ""Hurricane"": 0.07}","2,060",0.39
Willis-Newman,44.65107,-79.19665,Technology,"{""Hurricane"": 0.35, ""Earthquake"": 0.42}","2,060",0.77
Guzman Ltd,45.62177,-72.91886,Finance,"{""Hurricane"": 0.02, ""Earthquake"": 0.09, ""Extreme heat"": 0.12, ""Drought"": 0.06, ""Wildfire"": 0.02, ""Volcano"": 0.03}","2,070",0.34
Alvarez Inc,46.68044,-72.94258,Healthcare,"{""Flooding"": 0.06, ""Hurricane"": 0.03, ""Volcano"": 0.25, ""Earthquake"": 0.06, ""Extreme cold"": 0.2, ""Wildfire"": 0.05, ""Tornado"": 0.07, ""Sea level rise"": 0.16, ""Extreme heat"": 0.05}","2,030",0.93
Wilkerson-Miranda,50.52026,-118.15607,Technology,"{""Volcano"": 0.13, ""Extreme cold"": 0.09, ""Tornado"": 0.46}","2,050",0.68
Torres-Sanchez,50.55813,-118.16912,Healthcare,"{""Flooding"": 0.96}","2,050",0.96
Reid PLC,50.78340,-119.22527,Technology,"{""Tornado"": 0.04, ""Hurricane"": 0.04, ""Flooding"": 0.04, ""Wildfire"": 0.02, ""Extreme cold"": 0.0, ""Sea level rise"": 0.01, ""Volcano"": 0.01}","2,070",0.16
Acevedo-Kennedy,54.36977,-112.73260,Retail,"{""Earthquake"": 0.04, ""Extreme heat"": 0.07, ""Hurricane"": 0.06, ""Wildfire"": 0.06, ""Volcano"": 0.02, ""Drought"": 0.06, ""Extreme cold"": 0.05, ""Flooding"": 0.02, ""Sea level rise"": 0.04}","2,040",0.42
Jones Ltd,45.94608,-73.40263,Finance,"{""Extreme heat"": 0.09, ""Wildfire"": 0.07, ""Sea level rise"": 0.05, ""Earthquake"": 0.05, ""Tornado"": 0.06, ""Flooding"": 0.1, ""Volcano"": 0.07, ""Extreme cold"": 0.01, ""Drought"": 0.06, ""Hurricane"": 0.03}","2,050",0.59
Strickland-Daniels,44.23684,-79.94239,Retail,"{""Extreme heat"": 0.21, ""Drought"": 0.19, ""Wildfire"": 0.38}","2,030",0.78
Obrien-Oneill,46.88500,-60.11114,Healthcare,"{""Hurricane"": 0.08, ""Flooding"": 0.09, ""Extreme heat"": 0.1, ""Wildfire"": 0.12, ""Drought"": 0.02, ""Sea level rise"": 0.09, ""Volcano"": 0.03, ""Earthquake"": 0.13, ""Tornado"": 0.04, ""Extreme cold"": 0.05}","2,040",0.75
Strickland-Daniels,45.80975,-72.67257,Retail,"{""Volcano"": 0.03, ""Extreme heat"": 0.02, ""Sea level rise"": 0.03, ""Earthquake"": 0.02}","2,060",0.10
Rivera Inc,50.61304,-118.99737,Energy,"{""Earthquake"": 0.03, ""Volcano"": 0.1, ""Tornado"": 0.06, ""Drought"": 0.18, ""Sea level rise"": 0.13, ""Extreme cold"": 0.15, ""Extreme heat"": 0.07, ""Wildfire"": 0.1, ""Hurricane"": 0.0}","2,050",0.82
Ware PLC,46.29589,-73.78365,Finance,"{""Earthquake"": 0.24}","2,040",0.24
Vega-Huffman,43.18714,-79.54400,Retail,"{""Wildfire"": 0.04, ""Earthquake"": 0.11, ""Volcano"": 0.15, ""Hurricane"": 0.01, ""Sea level rise"": 0.08, ""Flooding"": 0.16, ""Extreme cold"": 0.18}","2,030",0.73
Skinner-Rojas,53.95823,-112.85971,Energy,"{""Hurricane"": 0.64}","2,070",0.64
Grant-Coffey,47.46542,-59.16212,Finance,"{""Extreme cold"": 0.28, ""Hurricane"": 0.11}","2,040",0.39
Horne and Sons,45.52501,-72.85134,Manufacturing,"{""Drought"": 0.009999999999999998, ""Earthquake"": 0.07, ""Tornado"": 0.02, ""Volcano"": 0.03, ""Extreme cold"": 0.05, ""Hurricane"": 0.02, ""Extreme heat"": 0.05, ""Flooding"": 0.06, ""Wildfire"": 0.02}","2,050",0.33
Alvarez Inc,54.84186,-111.94603,Retail,"{""Extreme cold"": 0.32, ""Wildfire"": 0.16, ""Tornado"": 0.05}","2,030",0.53
"Bender, Warren and Sanchez",46.30233,-73.69531,Retail,"{""Extreme cold"": 0.22, ""Wildfire"": 0.09, ""Drought"": 0.26, ""Flooding"": 0.23}","2,050",0.80
"Bender, Warren and Sanchez",50.24198,-118.57043,Technology,"{""Sea level rise"": 0.19999999999999998, ""Flooding"": 0.11, ""Hurricane"": 0.1, ""Extreme cold"": 0.04, ""Drought"": 0.12}","2,060",0.57
Smith-Woods,54.27457,-112.67472,Retail,"{""Extreme heat"": 0.24, ""Earthquake"": 0.08}","2,040",0.32
"Walker, Hogan and Mendez",43.25071,-79.19559,Retail,"{""Hurricane"": 0.22, ""Earthquake"": 0.02, ""Tornado"": 0.17, ""Sea level rise"": 0.18, ""Flooding"": 0.06, ""Volcano"": 0.05}","2,070",0.70
Wilkerson-Miranda,51.30028,-118.51220,Technology,"{""Hurricane"": 0.01, ""Tornado"": 0.02, ""Volcano"": 0.05, ""Wildfire"": 0.02, ""Drought"": 0.03, ""Extreme cold"": 0.05, ""Earthquake"": 0.03, ""Extreme heat"": 0.04, ""Sea level rise"": 0.06}","2,060",0.31
Foster-Flores,47.24677,-59.82405,Manufacturing,"{""Extreme heat"": 0.060000000000000005, ""Earthquake"": 0.05, ""Flooding"": 0.06, ""Hurricane"": 0.02}","2,070",0.19
"Fox, Daniel and Coleman",50.83050,-119.22820,Manufacturing,"{""Extreme cold"": 0.06999999999999999, ""Wildfire"": 0.01, ""Volcano"": 0.1, ""Drought"": 0.05, ""Earthquake"": 0.04, ""Flooding"": 0.0}","2,030",0.27
Campos and Sons,46.24924,-59.51500,Energy,"{""Drought"": 0.07, ""Wildfire"": 0.02, ""Tornado"": 0.01, ""Earthquake"": 0.05, ""Extreme heat"": 0.08}","2,050",0.23
"Davis, Allen and Rivera",47.47467,-59.46160,Healthcare,"{""Drought"": 0.01, ""Tornado"": 0.17, ""Sea level rise"": 0.13, ""Wildfire"": 0.34, ""Flooding"": 0.32}","2,030",0.97
Norton-Spencer,51.42397,-118.63156,Retail,"{""Earthquake"": 0.01, ""Extreme cold"": 0.13, ""Tornado"": 0.01, ""Drought"": 0.12, ""Flooding"": 0.14, ""Volcano"": 0.06, ""Wildfire"": 0.09, ""Extreme heat"": 0.14}","2,030",0.70
Gross PLC,46.36700,-73.45402,Energy,"{""Flooding"": 0.08, ""Extreme cold"": 0.0, ""Drought"": 0.09, ""Wildfire"": 0.05, ""Earthquake"": 0.08, ""Extreme heat"": 0.06, ""Sea level rise"": 0.01}","2,030",0.37
"Kelley, Barnes and Hutchinson",43.75748,-79.72284,Retail,"{""Tornado"": 0.9}","2,050",0.90
Skinner-Rojas,50.78592,-119.12315,Finance,"{""Extreme heat"": 0.09000000000000001, ""Earthquake"": 0.18, ""Volcano"": 0.12, ""Tornado"": 0.03, ""Wildfire"": 0.17}","2,070",0.59
Foster-Flores,47.47353,-58.98957,Manufacturing,"{""Sea level rise"": 0.12, ""Tornado"": 0.07, ""Hurricane"": 0.05, ""Extreme cold"": 0.28, ""Extreme heat"": 0.07}","2,040",0.59
Strickland-Daniels,45.20571,-78.63131,Healthcare,"{""Sea level rise"": 0.0, ""Extreme cold"": 0.02, ""Tornado"": 0.0, ""Drought"": 0.0, ""Earthquake"": 0.01, ""Flooding"": 0.02, ""Extreme heat"": 0.01}","2,040",0.06
Jones Ltd,44.33661,-78.47518,Manufacturing,"{""Drought"": 0.019999999999999997, ""Flooding"": 0.16, ""Earthquake"": 0.0, ""Hurricane"": 0.17, ""Extreme cold"": 0.13, ""Extreme heat"": 0.11, ""Tornado"": 0.03}","2,050",0.62
Anderson Group,54.67083,-112.14049,Manufacturing,"{""Tornado"": 0.18, ""Flooding"": 0.05, ""Wildfire"": 0.13, ""Extreme heat"": 0.22, ""Extreme cold"": 0.03, ""Drought"": 0.08, ""Hurricane"": 0.02}","2,030",0.71
Jimenez-Gallegos,43.53559,-79.84825,Manufacturing,"{""Flooding"": 0.01, ""Wildfire"": 0.21, ""Sea level rise"": 0.08, ""Drought"": 0.17, ""Hurricane"": 0.1}","2,040",0.57
"Mejia, Roberts and Gay",54.49832,-112.25135,Healthcare,"{""Earthquake"": 0.6}","2,040",0.60
"Roberts, Burke and Williams",47.68502,-62.46846,Finance,"{""Extreme heat"": 0.55}","2,070",0.55
"Hall, Meadows and Anderson",45.65781,-73.56308,Manufacturing,"{""Extreme heat"": 0.33, ""Wildfire"": 0.14, ""Extreme cold"": 0.31}","2,070",0.78
Stewart PLC,42.96023,-79.09552,Finance,"{""Drought"": 0.16, ""Wildfire"": 0.0, ""Earthquake"": 0.23, ""Extreme cold"": 0.04, ""Sea level rise"": 0.03, ""Extreme heat"": 0.11, ""Volcano"": 0.11, ""Hurricane"": 0.16}","2,040",0.84
"Walker, Hogan and Mendez",43.96114,-78.03611,Retail,"{""Extreme cold"": 0.11, ""Tornado"": 0.36, ""Extreme heat"": 0.09}","2,040",0.56
Grant-Coffey,44.01210,-79.80888,Manufacturing,"{""Drought"": 0.09, ""Extreme heat"": 0.05, ""Flooding"": 0.06, ""Hurricane"": 0.07, ""Tornado"": 0.03}","2,050",0.30
Wilkerson-Miranda,49.92104,-118.74147,Manufacturing,"{""Hurricane"": 0.03, ""Drought"": 0.01, ""Flooding"": 0.02, ""Extreme heat"": 0.01, ""Wildfire"": 0.01, ""Earthquake"": 0.01, ""Extreme cold"": 0.02, ""Tornado"": 0.0}","2,040",0.11
"Landry, Molina and Green",53.77729,-112.27043,Manufacturing,"{""Hurricane"": 0.16, ""Extreme cold"": 0.01, ""Volcano"": 0.12, ""Drought"": 0.1, ""Wildfire"": 0.01, ""Tornado"": 0.14, ""Extreme heat"": 0.08, ""Flooding"": 0.16, ""Sea level rise"": 0.01}","2,070",0.79
"Bender, Warren and Sanchez",46.91117,-72.51783,Energy,"{""Tornado"": 0.59}","2,060",0.59
"Davis, Allen and Rivera",45.79422,-72.72349,Technology,"{""Extreme cold"": 0.08}","2,030",0.08
"Landry, Molina and Green",46.87024,-72.62235,Technology,"{""Wildfire"": 0.02, ""Hurricane"": 0.28, ""Tornado"": 0.0, ""Sea level rise"": 0.29, ""Flooding"": 0.04, ""Extreme heat"": 0.35}","2,040",0.98
Wiley Ltd,46.52988,-73.32163,Retail,"{""Drought"": 0.06, ""Extreme heat"": 0.02, ""Extreme cold"": 0.07, ""Flooding"": 0.06, ""Earthquake"": 0.05, ""Volcano"": 0.0, ""Tornado"": 0.0}","2,050",0.26
"Marks, Garrett and Cummings",44.49939,-78.91713,Energy,"{""Hurricane"": 0.019999999999999997, ""Volcano"": 0.02, ""Tornado"": 0.01, ""Extreme cold"": 0.04, ""Earthquake"": 0.02, ""Wildfire"": 0.02, ""Flooding"": 0.0, ""Sea level rise"": 0.0, ""Drought"": 0.02, ""Extreme heat"": 0.04}","2,040",0.19
"Hooper, Evans and Merritt",46.33177,-72.28611,Energy,"{""Volcano"": 0.24, ""Drought"": 0.21, ""Hurricane"": 0.16}","2,060",0.61
"Mcknight, Beasley and Stewart",45.63574,-72.89475,Energy,"{""Wildfire"": 0.060000000000000005, ""Sea level rise"": 0.04, ""Earthquake"": 0.01, ""Extreme cold"": 0.06}","2,060",0.17
"Rodriguez, Roberts and Fuller",46.48916,-73.27214,Technology,"{""Volcano"": 0.049999999999999996, ""Wildfire"": 0.11, ""Tornado"": 0.11, ""Drought"": 0.08, ""Extreme heat"": 0.08, ""Sea level rise"": 0.04, ""Earthquake"": 0.09, ""Hurricane"": 0.01, ""Extreme cold"": 0.04, ""Flooding"": 0.06}","2,060",0.67
Obrien-Oneill,50.45896,-118.46629,Finance,"{""Hurricane"": 0.13, ""Volcano"": 0.71}","2,030",0.84
Wilkerson-Miranda,46.07492,-73.17371,Finance,"{""Earthquake"": 0.03, ""Extreme cold"": 0.05, ""Sea level rise"": 0.05, ""Tornado"": 0.03, ""Extreme heat"": 0.01, ""Flooding"": 0.03, ""Hurricane"": 0.05, ""Drought"": 0.04}","2,030",0.29
Willis-Newman,46.75592,-62.54708,Technology,"{""Extreme heat"": 0.0, ""Drought"": 0.08, ""Wildfire"": 0.09, ""Sea level rise"": 0.09, ""Hurricane"": 0.02, ""Tornado"": 0.05, ""Volcano"": 0.09, ""Earthquake"": 0.05, ""Extreme cold"": 0.07}","2,030",0.54
"Hall, Meadows and Anderson",51.32250,-118.79945,Energy,"{""Earthquake"": 0.09, ""Flooding"": 0.04, ""Volcano"": 0.07, ""Wildfire"": 0.06, ""Hurricane"": 0.05, ""Drought"": 0.05, ""Extreme heat"": 0.09, ""Extreme cold"": 0.05}","2,040",0.50
"Mcpherson, Simmons and Simpson",45.60974,-73.22225,Technology,"{""Wildfire"": 0.06, ""Drought"": 0.05, ""Earthquake"": 0.03}","2,030",0.14
Norton-Spencer,54.31678,-112.06525,Technology,"{""Extreme cold"": 0.01, ""Drought"": 0.09, ""Sea level rise"": 0.02, ""Tornado"": 0.01, ""Hurricane"": 0.07, ""Extreme heat"": 0.07, ""Wildfire"": 0.07}","2,030",0.34
Pittman PLC,47.27883,-60.13852,Healthcare,"{""Hurricane"": 0.05, ""Tornado"": 0.02, ""Volcano"": 0.03, ""Drought"": 0.15}","2,030",0.25
Acevedo-Kennedy,46.99479,-63.05541,Energy,"{""Earthquake"": 0.04, ""Extreme heat"": 0.05, ""Flooding"": 0.02, ""Sea level rise"": 0.01, ""Hurricane"": 0.03, ""Wildfire"": 0.05, ""Extreme cold"": 0.04}","2,060",0.24
Skinner-Rojas,46.05918,-72.89946,Energy,"{""Drought"": 0.21, ""Tornado"": 0.17, ""Earthquake"": 0.44}","2,060",0.82
Smith-Woods,44.45241,-77.92262,Retail,"{""Hurricane"": 0.11, ""Extreme heat"": 0.1, ""Flooding"": 0.25, ""Sea level rise"": 0.24}","2,050",0.70
Norton-Spencer,45.82658,-72.39069,Technology,"{""Extreme cold"": 0.06, ""Earthquake"": 0.06, ""Hurricane"": 0.06}","2,060",0.18
"Landry, Molina and Green",46.85635,-73.74548,Energy,"{""Tornado"": 0.03, ""Sea level rise"": 0.02, ""Wildfire"": 0.01, ""Flooding"": 0.04, ""Hurricane"": 0.0}","2,070",0.10
"Higgins, Brown and Vaughn",51.59722,-119.25620,Technology,"{""Drought"": 0.02, ""Extreme cold"": 0.01, ""Volcano"": 0.02, ""Wildfire"": 0.01, ""Sea level rise"": 0.03, ""Extreme heat"": 0.03}","2,040",0.12
Reid-Sherman,43.76007,-79.85123,Healthcare,"{""Hurricane"": 0.32, ""Flooding"": 0.55, ""Earthquake"": 0.05}","2,070",0.92
"Walker, Hogan and Mendez",45.49651,-73.10463,Manufacturing,"{""Extreme heat"": 0.11, ""Sea level rise"": 0.17}","2,030",0.28
"Kelley, Barnes and Hutchinson",54.23656,-112.77412,Energy,"{""Hurricane"": 0.060000000000000005, ""Wildfire"": 0.06, ""Sea level rise"": 0.04, ""Volcano"": 0.01}","2,050",0.17
"Bender, Warren and Sanchez",45.72231,-73.37695,Retail,"{""Extreme heat"": 0.06, ""Earthquake"": 0.02, ""Drought"": 0.0, ""Flooding"": 0.01, ""Volcano"": 0.07, ""Sea level rise"": 0.08, ""Wildfire"": 0.02, ""Extreme cold"": 0.05, ""Tornado"": 0.02, ""Hurricane"": 0.06}","2,040",0.39
"Bender, Warren and Sanchez",45.61823,-72.72473,Energy,"{""Earthquake"": 0.06, ""Volcano"": 0.03, ""Extreme heat"": 0.0, ""Hurricane"": 0.02, ""Wildfire"": 0.06, ""Flooding"": 0.05, ""Drought"": 0.04, ""Sea level rise"": 0.06}","2,060",0.32
Reid PLC,44.89281,-78.93739,Retail,"{""Flooding"": 0.01, ""Hurricane"": 0.06, ""Wildfire"": 0.11, ""Earthquake"": 0.01, ""Tornado"": 0.03, ""Sea level rise"": 0.1}","2,050",0.32
Gray-Evans,45.83407,-73.48489,Finance,"{""Sea level rise"": 0.75}","2,060",0.75
"Wagner, Curry and Pearson",46.95230,-62.48287,Energy,"{""Drought"": 0.02, ""Tornado"": 0.06, ""Flooding"": 0.01, ""Wildfire"": 0.03, ""Hurricane"": 0.04, ""Extreme heat"": 0.02, ""Earthquake"": 0.03, ""Volcano"": 0.0, ""Sea level rise"": 0.1, ""Extreme cold"": 0.08}","2,030",0.39
Willis-Newman,43.88512,-78.31823,Technology,"{""Drought"": 0.02, ""Volcano"": 0.02, ""Earthquake"": 0.05, ""Flooding"": 0.03, ""Sea level rise"": 0.04, ""Extreme cold"": 0.05, ""Hurricane"": 0.04, ""Extreme heat"": 0.02, ""Wildfire"": 0.06}","2,070",0.33
Pittman PLC,43.45643,-80.28065,Finance,"{""Extreme heat"": 0.49}","2,030",0.49
Waller Ltd,53.95426,-112.61486,Finance,"{""Tornado"": 0.25}","2,060",0.25
Reid-Sherman,43.38849,-80.20973,Energy,"{""Extreme cold"": 0.72}","2,070",0.72
"Patel, Norris and Jackson",45.85654,-73.61147,Manufacturing,"{""Extreme heat"": 0.060000000000000005, ""Volcano"": 0.06, ""Extreme cold"": 0.07}","2,030",0.19
"Higgins, Brown and Vaughn",54.03098,-113.00795,Finance,"{""Extreme heat"": 0.24, ""Volcano"": 0.17, ""Drought"": 0.07, ""Tornado"": 0.24, ""Earthquake"": 0.26}","2,070",0.98
Martin-Jenkins,54.02424,-113.07888,Healthcare,"{""Flooding"": 0.51}","2,050",0.51
"Hooper, Evans and Merritt",46.62058,-62.15925,Energy,"{""Earthquake"": 0.0, ""Wildfire"": 0.0, ""Extreme heat"": 0.0, ""Drought"": 0.01, ""Tornado"": 0.0, ""Hurricane"": 0.01, ""Extreme cold"": 0.01, ""Volcano"": 0.0, ""Sea level rise"": 0.01}","2,050",0.04
"Bender, Warren and Sanchez",44.46077,-77.77858,Finance,"{""Extreme heat"": 0.41}","2,050",0.41
Norton-Spencer,45.97773,-72.98145,Finance,"{""Sea level rise"": 0.74, ""Volcano"": 0.07}","2,030",0.81
Ware PLC,46.41204,-73.76041,Technology,"{""Tornado"": 0.08, ""Flooding"": 0.04, ""Volcano"": 0.18, ""Extreme heat"": 0.15, ""Hurricane"": 0.31}","2,040",0.76
Vega-Huffman,45.67490,-72.38376,Healthcare,"{""Extreme cold"": 0.05, ""Earthquake"": 0.21, ""Wildfire"": 0.33}","2,050",0.59
"Landry, Molina and Green",44.10315,-77.90321,Healthcare,"{""Wildfire"": 0.04, ""Earthquake"": 0.11, ""Hurricane"": 0.18, ""Extreme heat"": 0.04, ""Flooding"": 0.2, ""Sea level rise"": 0.08}","2,040",0.65
Robertson-Petersen,49.92326,-118.70937,Finance,"{""Volcano"": 0.15, ""Tornado"": 0.01, ""Sea level rise"": 0.21, ""Hurricane"": 0.03}","2,060",0.40
Torres-Sanchez,46.46928,-72.98702,Energy,"{""Drought"": 0.08, ""Sea level rise"": 0.12, ""Tornado"": 0.14, ""Flooding"": 0.07, ""Wildfire"": 0.03}","2,050",0.44
Wiley Ltd,43.82429,-79.51712,Energy,"{""Volcano"": 0.02, ""Drought"": 0.0, ""Flooding"": 0.0, ""Sea level rise"": 0.0, ""Hurricane"": 0.0, ""Extreme cold"": 0.0, ""Extreme heat"": 0.0, ""Tornado"": 0.0, ""Earthquake"": 0.0}","2,030",0.02
Gross PLC,46.26068,-73.41572,Healthcare,"{""Earthquake"": 0.09000000000000001, ""Sea level rise"": 0.08, ""Tornado"": 0.12, ""Volcano"": 0.08, ""Extreme cold"": 0.06, ""Wildfire"": 0.12, ""Hurricane"": 0.06}","2,030",0.61
Cook-Burns,45.45041,-73.71750,Retail,"{""Wildfire"": 0.41, ""Drought"": 0.18, ""Flooding"": 0.01, ""Extreme heat"": 0.35}","2,050",0.95
Stewart PLC,50.78940,-119.13769,Finance,"{""Extreme heat"": 0.02, ""Sea level rise"": 0.01, ""Flooding"": 0.02, ""Wildfire"": 0.01}","2,070",0.06
Grant-Coffey,50.78400,-118.92593,Retail,"{""Wildfire"": 0.08, ""Flooding"": 0.16, ""Sea level rise"": 0.2}","2,040",0.44
"Davis, Allen and Rivera",43.61482,-80.21464,Retail,"{""Earthquake"": 0.01, ""Extreme heat"": 0.01, ""Wildfire"": 0.01, ""Drought"": 0.01, ""Extreme cold"": 0.01}","2,060",0.05
Reid-Sherman,50.51274,-119.00554,Healthcare,"{""Earthquake"": 0.04, ""Flooding"": 0.05, ""Hurricane"": 0.05, ""Extreme cold"": 0.04, ""Extreme heat"": 0.06, ""Sea level rise"": 0.01, ""Tornado"": 0.05, ""Wildfire"": 0.06, ""Drought"": 0.04, ""Volcano"": 0.03}","2,070",0.43
"Roberts, Burke and Williams",49.89665,-118.10095,Retail,"{""Sea level rise"": 0.04, ""Flooding"": 0.04, ""Hurricane"": 0.05, ""Earthquake"": 0.01, ""Tornado"": 0.01, ""Wildfire"": 0.07, ""Volcano"": 0.04, ""Drought"": 0.06, ""Extreme cold"": 0.02}","2,030",0.34
Smith-Woods,54.78518,-112.37327,Energy,"{""Earthquake"": 0.06, ""Wildfire"": 0.05, ""Extreme cold"": 0.04, ""Drought"": 0.01, ""Volcano"": 0.04, ""Sea level rise"": 0.04}","2,050",0.24
Robertson-Petersen,46.08987,-72.69627,Retail,"{""Wildfire"": 0.02, ""Volcano"": 0.45}","2,070",0.47
"Landry, Molina and Green",54.69296,-112.24327,Healthcare,"{""Wildfire"": 0.02, ""Extreme cold"": 0.11, ""Sea level rise"": 0.12, ""Hurricane"": 0.07, ""Volcano"": 0.12}","2,060",0.44
"Landry, Molina and Green",44.20557,-77.95088,Retail,"{""Drought"": 0.05, ""Sea level rise"": 0.18, ""Volcano"": 0.29, ""Wildfire"": 0.14}","2,060",0.66
Alvarez Inc,45.82008,-72.63369,Finance,"{""Volcano"": 0.07, ""Extreme heat"": 0.19, ""Sea level rise"": 0.33}","2,070",0.59
"Bender, Warren and Sanchez",46.36093,-72.82474,Finance,"{""Hurricane"": 0.17, ""Drought"": 0.14, ""Sea level rise"": 0.02, ""Wildfire"": 0.13}","2,040",0.46
Vega-Huffman,45.81134,-72.62649,Finance,"{""Flooding"": 0.13999999999999999, ""Earthquake"": 0.13, ""Extreme cold"": 0.01, ""Drought"": 0.03, ""Wildfire"": 0.06, ""Tornado"": 0.09, ""Sea level rise"": 0.07, ""Extreme heat"": 0.1, ""Hurricane"": 0.01, ""Volcano"": 0.06}","2,040",0.70
Jones Ltd,50.45021,-118.26571,Retail,"{""Hurricane"": 0.05, ""Extreme heat"": 0.07, ""Earthquake"": 0.0, ""Extreme cold"": 0.01}","2,060",0.13
Kemp-Anderson,50.49125,-118.13228,Retail,"{""Volcano"": 0.18, ""Flooding"": 0.04, ""Sea level rise"": 0.1, ""Drought"": 0.08, ""Extreme cold"": 0.03, ""Tornado"": 0.01, ""Earthquake"": 0.15, ""Wildfire"": 0.04, ""Hurricane"": 0.23}","2,040",0.86
Williams Group,47.11452,-58.89697,Manufacturing,"{""Sea level rise"": 0.02, ""Earthquake"": 0.03, ""Drought"": 0.03, ""Wildfire"": 0.05, ""Flooding"": 0.02, ""Volcano"": 0.0, ""Extreme heat"": 0.0}","2,030",0.15
"Washington, Rogers and Morrison",50.90165,-118.23321,Energy,"{""Extreme heat"": 0.01, ""Volcano"": 0.0, ""Wildfire"": 0.0, ""Flooding"": 0.0, ""Sea level rise"": 0.0}","2,050",0.01
"Mcpherson, Simmons and Simpson",50.00469,-119.01030,Manufacturing,"{""Sea level rise"": 0.18000000000000002, ""Tornado"": 0.0, ""Hurricane"": 0.07, ""Extreme heat"": 0.2, ""Extreme cold"": 0.18, ""Earthquake"": 0.2}","2,040",0.83
Ware PLC,46.86200,-59.48741,Healthcare,"{""Earthquake"": 0.15, ""Extreme heat"": 0.09, ""Hurricane"": 0.03, ""Sea level rise"": 0.08, ""Volcano"": 0.1, ""Flooding"": 0.08, ""Drought"": 0.15, ""Tornado"": 0.14, ""Extreme cold"": 0.07}","2,070",0.89
